Pergunta,A,B,C,D,Correta,Imagem
18) Qual a definição de MER?,Taxa de erro de transmissão .,Taxa de erro de recepção;,Taxa de erro de modulação;,Taxa de erro de bit.,C,
19) O que é BER?,Taxa de erro de transmissão;,Taxa de erro de recepção;,Taxa de erro de modulação;,Taxa de erro de bit.,D,
20) O que é Canal de Retorno?,Sinal transmitido do equipamento do cliente para o Headend;,Sinal transmitido do Headend para o cliente;,Sinal transmitido entre os Headends;,Sinal transmitido entre clientes NET,A,
21)   Qual a relação ao tipo de modulação e a  sensibilidade   ao ruído?,Quanto maior a modulação maior a sensibilidade ao ruido;,Quanto menor a modulação maior a sensibilidade ao ruido;,Quanto maior a modulação menor a sensibilidade ao ruído;,Independente da modulação a sensibilidade ao ruído sempre será a mesma.,A,
22)   O que é Downstream  ?,Sinal que o CMTS envia para o eMTA;,Sinal que o eMTA envia para o CMTS;,Sinal que o medidor envia para o eMTA,Sinal que o eMTA envia para o medidor.,A,
23)   Quais os sinais que trafegam no Canal de Retorno?,Canais piloto (alto e baixo);,Canais de Vídeo;,Canais de Upstream;,D. Todas as alternativas anteriores.,C,
24)     Em relação ao poste da residência do cliente é correto afirmarmos que:,Utilizamos o suporte da companhia telefônica somente com autorização de cliente,Não é permitida a utilização do suporte da companhia telefônica,É necessário utilizar o U Span Clamp poste somente nos casos em que instalarmos CLARO Fone,É necessário utilizar o U Span Clamp poste somente se não houver suporte da companhia telefônica,B,
"25)   Para fixação de cabos  coaxiais   em cantos de rodapés e portas, devemos respeitar a curvatura  mínima de:",5 cm,12cm,8cm,20cm,B,
"26)    Um EMTA passa por um processo chamado de sincronismo, onde é estabelecido uma comunicação com o CMTS. A respeito deste processo, selecione a alternativa correta:","RX é o sinal que vem por meio das portadoras de Downstream, enquanto o TX é o sinal que trafega por meio das portadoras de Upstream.","Quanto maior o pacote de internet contratado pelo cliente, mais rápido é realizado sincronismo.","No sincronismo do EMTA os sinais de CA e CB devem estar com suas potências dentro do padrão, -5dBmV até 5 dBmV.",O sincronismo do equipamento vai acontecer quando o técnico solicitar a habilitação do EMTA para que o serviço de internet seja disponibilizado.,A,
27)   Durante os testes de potência do WI - FI   o   Técnico Jonny se lembra de que o ideal  em   relação à  potência do WI - FI:,80% dos cómodos com a potência entre - 10dBm e - 70 dBm,60% dos cômodos com a potência entre - 10dbm e - 70d Bm,80% dos cômodos com a potência entre - 50dBm e - 120cm,60% dos cômodos com a potência entre - 50dBm e - 12dBm,A,
28)   Porque não devemos utilizar os passivos   de rede interna em áreas abertas?,Devido a estética,Os passivos de rede interna são sensíveis a umidade e ch uva e por isso oxidam causando degradação nos sinais.,Podemos utilizar em áreas abertas desde que utilizar mos fita isolante .,Todas estão corretas,B,
"29)   Durante a instalação da extensão  telefônica , caso  o   cliente queira adicionar outros pontos de  extensão qual o   procedimento que você deve tomar?",Você deve instalar as extensões solicitadas pelo cliente e efetuar a cobrança em dinheiro referente a cada ponto de extensão instalado,"Caso o ponto solicitado pelo cliente não esteja contemplado na W.O, oriente o cliente solicita-las via CRN, antes de baixar o serviço. pois a O.S referente aos novos pontos serão agrupado na mesma W.O.",O cliente deve solicitar a instalação dos novos pontos de extensão na CRN após o fechamento da W.O que você se encontra.,n.d.a,B,
"30)   Sobre o Mini Isolator, onde ele deve ser utilizado?",No ponto que o cliente possuir um equipamento Virtua ( eMTA),Em todos os pontos que o cliente possuir um equipamento Fone,"Em todos os pontos que o cliente possuir um equipamento (DECODER SD/HD, eMTA e CABLE MODEM)",Deve ser utilizado antes do primeiro divisor. Ponto comum dos equipamentos,C,
"31)   O uso do torque nos terminais ( Decoder , eMTA e T V do cliente) deve:","Ser feito com a Mão com auxilio do ""chaveirinho ou similar"", sem a necessidade da chave torque",Ser feito com alicate universal ou ferramenta simil ar,Ser feito sempre com a chave de torque 15 lbs ho mo logada pela área de serviços,"Nenhuma das alternativas, pois não necessário utilizar o torque nesses equipamentos",A,
32)   O que é Cable Isolator?,"É um componente que tem a função de proteger a instalação e equipamentos contra picos de tensão gerados por surtos de energia o u descargas elétricas, evitando também o retorno de AC para a nossa rede",É um dispositivo que tem a função de Isolar os pico e ruídos gerados pelos pontos Pay TV,É um tipo de cabo que possui maior Isolação à ruídos ou Interferências externas,É um dispositivo para emendar o cabo branco e preto (drop),A,
33)   O que é RQUAL?,É uma nova regulamentação da Anatel que consolide e simplifica todas as normas de qualidade de serviços para operadores de Telecomunicações em um regulamento único.,É uma nova regulamentação da Anatel que consolida e simplifica todas as normas de qualidade de serviços para operadores de fibra optica em um Regulamento único.,É uma nova regulamentação da ANA que consolida e s implifica todas as normas de qualidade de serviços para operadores de saneamento e m um regulamento único.,É uma nova regulamentação da CableLabs que consolida e simplifica todas as normas de qualidade de serviços para operadora de cabo mundial em um regulamento único.,A,
34)   Qual a diferença entre sinal Flat e Tilt?.,Flat é quando há alguma diferença entre os níveis dos canais medidos no mesmo ponto e Tilt é quando não há diferença de nível de Sinal medido no mesmo ponto.,Flat é quando o sinal passou por alguma equalização e Tilt é quando o sinal passou por alguma amplificação .,Tilt é quando há alguma diferença entre os níveis de sinal dos canais medidos e Flat é quando não há diferença de nível de sinal.,Tilt é quando o sinal passou por alguma equalização e Flat é quando o sinal passou por alguma amplificação.,C,
"35)   Dentre as alternativas abaixo, qual delas apresenta uma melhor qualidade de sinal?",BER 1.0 E-05,BER 1.0 E-07,BER 2.0 E-08,BER 9.0 E-06,C,
"36)   Para  considerarmos um Decoder On - line ,  qual opção abaixo é a correta?",Nas configurações verificar se o IP Inicia em 10.xxx.xxxxxx,Nas configurações verificar se o IP inicia em 168.xxx.xxx.xx,Nas configurações verificar se o IP inicia 189.xxx.xx.xx,Nas configurações verificar se o IP Inicia em 192.xxx.xx.xxx,A,
"37)   Conforme vimos durante a aula pratica de configuração Claro TV+ HD, devemos utilizar qual   canal  para verificação   dos  endereçáveis   (CA ID e Smart Card) para realizar abaixa?",250,252,270,272,C,
"38)   Ao término de uma Instalação, o Instalador Identifica que o serviço de gravação não está  funcionando, qual o   procedimento ele deverá seguir?",Confere o Update ID,Conferir se o serviço está ativo em seu contrato,Enviar HIT para o Decoder e após seguir o procedimento de HIT,Todas as alternativas estão corretas,D,
"39)   Sobre a Configuração dos serviços  Inteligentes   do Fone, qual das Informações abaixo está correta?","O SIGA - ME não está disponível para os pacotes que não possuem o Busca Automática. Ou seja, o cliente deve escolher entre o Busca Automática e o SIGA - ME",SIGA - ME só pode ser habilitado após o pagament o da fatura.,"SEMPRE que configurar o SIGA - ME, desative o serviço de CHAMADA EM ESPERA, pois o mesmo é incompatível com o funcionamento do sistema de redirecionamento",Todas as opções estão corretas .,B,
40) O SNR do Retorno fora do padrão tem alguma influencia nos equipamentos que possuem  um Cable Modem Interno?,"Não, porque ele só afeta o Decoder Digital.","Não, porque essa informação não se aplica ao Modem","Sim, por exemplo, pode causar lentidão na internet e mal funcionamento do NOW.","Sim, porque pode travar o Notebook do cliente.",C,
"41)   Para obter o título de Técnico Certificado, quais são os parâmetros que devem  ser  cumpridos?","Cumprimento de Agenda, Revisita e Produtividade .","Contact Rate, Revisita e Produtividade.","TEC1, ISRA e AT",n.d.a,A,
42)   Quais os níveis de RX e TX  padronizados pela NET?,RX: - 12dBmv à +12dBmv; TX: 37 à 50dBmv.,RX: - 12dBmv à +12dBmv; TX: 38 à 51dBmv.,RX: - 15dBmv à +15dBmv; TX: 40 à 51 dBmv.,RX: - 15dBmv à +15dBmv; TX: 40 à 55 dBmv.,B,
43)   O que é FEC?,Código detector e corretor de erros;,Código detector de erro de bit;,Código detector de sinal;,Código detector de transmissão digital.,A,
44)   O que é Canal Direto?,Sinal transmitido do equipamento do cliente até Headend;,Sinal transmitido do Headend até o cliente;,Sinal transmitido entre os Headends;,Sinal transmitido entre clientes NET,B,
45)   Quais são as faixas de frequências disponíveis para o Canal de Retorno?,55 MHz a 750MHz/104 MHz a 1 GHz;,213 MHz a 550 MHz/85MHz a 104 MHz;,5 MHz a 42 MHz/5 MHz a 85 MHz;,5 MHz a 55 MHz/5 MHz a 104 MHz.,C,
46)   O que é Upstream?,Sinal que o CMTS envia para o eMTA;,Sinal que o eMTA envia para o CMTS;,Sinal que o medidor envia para o eMTA;,Sinal que o eMTA envia para o medidor.,B,
47)   Quais os sinais que trafegam no Canal Direto?,Canais piloto (alto e baixo);,Canais de Vídeo ;,Canais Downstream;,Todas as alternativas anteriores.,D,
48)   O que é portabilidade?,"É a facilidade que permite o cliente manter o número de telefone fixo ou móvel, independentemente da operadora a que estiver vinculado;",É a facilidade que permite o cliente trocar um número de telefone fixo para um móvel;,"É a facilidade que permite o cliente manter o número de telefone fixo ou móvel, i ndependentemente da operadora mesmo com titulares diferentes;",N.d.a.,A,
49)   O que acontece com o sinal da NET se no momento da instalação amassarmos o cabo?,Há um aumento na blindagem do cabo contra interferências externas,Há uma alteração na impedância característica do cabo.,Inversão do Tilt entre canal alto e canal baixo,Satura as frequências mais altas do espectro.,B,
50)   Qual a importância de alternar corretamente o Status no PDA?,Não faz diferença alterar o Status para execução do trabalho," Não tem importância, pois os únicos Status utilizados são o deslocamento e Iniciar a rota.", O Status é importante para que o Field consiga otimizar a rota dos Instaladores e evitar deslocamento indevido., O Status é importante para que o Supervisor consiga visualizar onde o Instalador está.,C,
51)   Qual o procedimento correto quando o cliente possui uma antena de TV UHF para sinal aberto?,Deixar o cabo de sinal da TV aberta desligado da TV do Cliente.,"Deixar o sinal da TV aberta ligado na TV do Cliente e orienta - lo quanto a utilização, quando necessário.","R etirar o cabo de antena do cliente, pois ele não irá utilizá - lo mais.",Utilizar o cabo de antena como guia para passar o cabo da NET.,B,
"52)   Durante a fixação externa do cabo RG06, podemos afirmar   que:",Os fixadores devem ser colocados a cada 50 cm;,Os fixadores devem ser fixados a cada 5 m;,Devemos utilizar cola quente;,Devemos solicitar ao cliente a compra de canaletas.,A,
53)   Com relação à distribuição interna de sinal é correto afirmar que:,Devemos utilizar a passagem de cabos por tubulações : e rede elétrica;,Só podemos passar o cabeamento caso haja tubulação,Devemos passar o cabeamento solto por cima do telhado ;,É proibida a passagem de cabos por tubulação elétrica,D,
54)   O   que é um Headend?,"Local onde ficam os materiais como decodificadores, massivos , OS's, etc...;","Local onde são recebidos os sinais das emissoras, faz o processamento, ajuste, codificação e transmissão para o restante da rede HFC;", Local onde são gerados os conte ú dos assistidos pelos clientes da NET;," Local onde há todo o processamento dos sinais, inclusive da rede pública de telefonia comutada (RPTC).",B,
55)   Qual é a largura de banda de um canal de TV digital?,6 MHz;, 8 MHz;, 4 MHz;, 42 MHz.,A,
56)   Quais as partes que compõem um cabo de Coaxial?,Condutor Central;, Dielétrico;, Condutor Externo;,Todas as alternativas estão corretas.,D,
57)   O que é uma Rede HFC?,Rede híbrida que mistura fibra óptica e cabo coaxial;,Regiões atendidas pelas fibras ópticas;,Rede híbrida que mistura fibra óptica com dados IP,Rede heterogênea de fibra ótica e portadoras digitais,A,
"58) A respeito da Norma Regulamentadora no 35 (NR-35) – Trabalho em Altura, no que diz respeito e cabe ao empregador quanto à avaliação do estado de saúde dos trabalhadores que exercem atividade em altura, assinale a alternativa correta.","A NR-35 não estabelece periodicidade para avaliação dos trabalhadores que executam trabalho em altura; cabe ao médico responsável estabelecer a periodicidade dos exames, considerar a relevância da NR-07 e analisar o histórico de cada trabalhador.","Os exames médicos realizados, bem como a sistemática implementada, para trabalhadores em altura, não fazem parte do Programa de Controle Médico de Saúde Ocupacional (PCMSO) da empresa, considerando-se a situação desses trabalhadores uma situação a se trat.","De acordo com a NR-35, a avaliação de saúde do trabalhador em altura deve ser realizada trimestralmente e contemplar a avaliação de esforço físico; a avaliação de acuidade visual só precisa ser realizada uma vez a cada ano.","De acordo com a NR-35 e com a NR-07, os trabalhadores com histórico de epilepsia, desde que devidamente medicados, podem participar do quadro de trabalhadores em altura.",A,
"59)   Dos padrões de criptografia Wi - Fi listados abaixo, qual é considerado o mais seguro?",RADIUS - PSK,WEP,WPA + TKIP,WPA2+AES,D,
"60)     Em relação ao  Virtua WI - FI, o que é importante analisar antes de realizar a instalação?","Melhor caminho para se passar o cabeamento, independente do local onde será instalado.",Melhor local para não interferir esteticamente na sala do cliente.,"Melhor local para propagação do sinal WI - FI, de preferencia em um cômodo central da residência.","Onde fica a sala para instalar o Virtua, pois neste local será utilizado com maior frequência internet através da TV e dos Celulares.",C,
"61)   Para verificar se o sinal de Wi - Fi de qualquer local da casa do cliente é suficiente para se  conectar a internet,   você deve verificar:","intensidade da conexão usando o Wi - Fi Analyzer ou WIFI-MAN, que deve ser de - 40 a - 70 dBm.","A visão geral do WiFi Analyzer ou WIFI-MAN, prestando atenção à curvatura do sinal, que não deve ser muito acentuada estando entre 40dBmV e 52dBmV.","O canal utilizado, pois se houver muitos roteadores o sinal será mais forte ficando entre - 1 2dBmV e +12dBmV.","O canal utilizado, pois usar um canal livre deixa o sina f raco.",A,
"62)  Sobre a confecção de conectores: ''Não é aconselhável encostar os dedos no condutor central, pois, o suor e outras substâncias liberadas pelas mãos, oxidam o condutor central. Talvez a oxidação não seja percebida em um curto tempo, mas a longo prazo ela poderá resultar em problemas no sinal.","Verdadeira, devemos utilizar de pincel/escova apropriada, para abaixar a malha e não contaminar o conector.","Falso, não devemos utilizar de pincel/escova para abaixar a malha. Pois o conector e malha já vem com uma proteção específica.","Verdadeira, é proibido utilizar qualquer tipo de ferramenta ou equipamento. Pois pode danificar o condutor central e a malha do cabo.",Todas as alternativas estão erradas.,A,
63)   Qual é a principal diferença entre uma portadora de sina digital com a portadora de sinal analógico?,A portadora de sinal digital transporta menos informação que a portadora analógica.,"A portadora de sinal digital é agrupada, portanto todas as informações trafegam na mesma portadora até o seu. destino, diferentemente da analógica, onde as informações trafegam separadamente até o seu destino.","A portadora de sinal digital é constituída das subportadoras de vídeo, cor e áudio, enquanto a portadora de sinal analógico, é constituída do sinal de informação",A portadora de sinal digital tem uma largura de faixa em Hertz maior que a analógica.,B,
64)   Marque a alternativa correta:,O CMTS se comunica com o Cable Modem através do padrão DOCSIS;,"A ""downstream"" é enviada via canal de retorno;",O CMTS se comunica diretamente com o televisor do cliente NET;,Todas as alternativas anteriores estão corretas.,A,
65)   Qual hierarquia de conexão de cabos devemos respeitar pa ra   termos a melhor experiência em  assistir TV?,Vídeo Componente; Áudio e Vídeo; S - VHS; HDMI;, HDMI; Vídeo Componente; S - VHS; Áudio e Vídeo;, S - VHS; HDMI; Vídeo Componente; Áudio e Vídeo;, HDMI; S - VHS; Vídeo Componente; Áudio e Vídeo.,B,
66)   O que você entende por Combo Multi   ?,"A mais completa seleção de serviços de telecomunicações do País, reunindo o melhor das três marcas: NET, Claro e Embratel"," A mais nova banda larga da NET, Claro e Embratel", É a nova seleção de TV da Claro e Embratel," É a nova seleção de TV da NET, Claro e Embratel",A,
"67)   Um técnico finalizou uma instalação no período da manhã  e  no período da tarde o cliente entrou em   contato reclamando que a imagem estava com chuviscos/ macro blocos , resultando em nova visita no  dia   seguinte para correção da falha reclamada. Qual indicador foi   afetado?",AT5, I5, IDS,TEC 1,B,
"68) Um cliente está realizando um download de um arquivo de aproximadamente 4GB, sua taxa de transferência segue constante em 3,75MBps. Sabendo que a velocidade aceitável é no mínimo 80% da velocidade contratada pelo cliente, qual a velocidade contratada neste caso?",10 Mbps,30 Mbps,1500 Kbps;,27 MBps.,B,
"69) ""Sobre a Autoinspecção é correto afirmar que: (T1 294).""
""I. A funcionalidade de Autoinspecção deve ser utilizada em novas Instalações e Mudança de Endereço.""
""II. Para as visitas improdutivas, o Botão de Inspeção deverá ser utilizado também para registrar eventos como: Chuva, Endereço não localizado, Entrada não autorizada e Área de risco.""
""III. No campo de observações, coloque informações pertinentes à vistoria realizada.""
""IV. A Autoinspecção tira a obrigatoriedade do preenchimento da OS Digital.""","I, II e III estão incorretas","I, II e IV estão corretas","I, II e III estão corretas","I, II e IV estão incorretas",C,
"70)  Em todas as situações de atendimento, temos a obrigação de encantar o cliente e direcioná-lo para a melhor experiência com os produtos e serviços oferecidos. Das opções a seguir, quais são as informações que não podem faltar durante um atendimento de excelência?"," Telefone da Central de atendimento, telefone do coordenador","Utilização do Now, Instruções do controle Remoto, Apresentação do aplicativo MINHA CLARO",Nunca esqueça de informar seu telefone para caso o cliente precise,Todas as opções estão corretas,B,
71)   Das opções abaixo qual Update ID disponibiliza o serviço de gravação do produto HD Max?, ID 01,ID O2,ID 05,ID 08,C,
"72)   Conforme podemos observar na atividade conhecendo os decoders, qual a função e o problema  que   pode acontecer quando não utilizamos a fonte certa para o equipamento desejado?"," As fontes tem a função de ligar os equipamentos. A utilização de uma fonte correta acarreta o mau funcionamento do equipamento, porem o mesmo não para de funcionar.","As fontes tem a função de transformar a corrente AC da rede elétrica residencial em corrente DC, para o correto funcionamento dos equipamentos. A utilização de uma fonte correta acarreta o mau funcionamento do equipamento, que dependendo do caso poderá ser seriamente danificado.","As fontes tem a função de transformar a corrente AC da rede elétrica residencial em corrente DC, para o correto funcionamento dos equipamentos. A utilização de uma fonte incorreta acarreta o mau funcionamento do equipamento, que dependendo do caso poderá s er seriamente danificado.","As fontes tem a função de transformar a corrente elétrica residencial em corrente AC, para o funcionamento dos equipamentos. A utilização de uma fonte incorreta acarreta na maioria dos casos o mau funcionamento do equipamento, porem o mesmo não para de fun cionar .",C,
73)   Para qual dos serviços abaixo é necessário que o cliente ligue na CRN (CENTRAL DE  RELACIONAMENTO   NET) para solicitar ativação?, Identificador de chamadas,Siga - me,Chamada em espera,Conferência a três,B,
"74)   Dos problemas abaixo, quais podem ser causados por um TX e RX fora do padrão?", Aumento no consumo do Vírtua e aquecimento do modem.,"Lentidão, Intermitência e sem sinal.","Não ocorre nada, é somente um verificação da NET.",Pode afetar o alcance do WI - FI.,B,
75)   Qual das alternativas abaixo NÃO gera ruído?,Amplificador saturado,B. Conectores irregulares ou inexistentes assim como portas não terminadas/casadas,C. Conexão clandestina de todo tipo,Utilização do cabo de rede (dados) com mais de 60 metros,D,
76)   Qual site o Técnico pode acessar para medir os níveis de sinal de um Cable Modem/eMTA?,www.anatel.gov.br,www.brasilbandalarga.com.br,niveis.virtua.com.br,www.speedtest.net,C,
77)   Um dos indicadores do Programa Geral de Metas da Qualidade da Anatel é o ISRA. Qual o  significado da   sigla e o que ele mede?,"Indicador de Solicitação de Reajuste Atendido, mede o percentual de reajustes na fatura cadastrados no sistema em menos de 24horas.","Indicador de Serviços Relacionados ao Atendimento, mede o percentual de ligações na central.","Índice de Serviços de Realizados Avulsos, mede o percentual de reparos atendidos sem cadastrado no sistema.","Indice de Solicitação de Reparo Atendido, mede o percentual de reparos atendidos em 24h da data/período cadastrado no sistema.",D,
"  78)  Calcule os níveis de CA, CB, TX e RX no ponto abaixo?","Sinal Tv - Cha= 3,0 - Chb= 6,5 / Sinal MTA - RX= -1 -TX= 42,5","Sinal Tv - Cha= 3,0 - Chb= 6,2 / Sinal MTA - RX= -0,5 -TX= 42,5","Sinal Tv - Cha= 3,0 - Chb= 6,5 / Sinal MTA - RX= -0,5 -TX= 42,5","Sinal Tv - Cha= 3,0 - Chb= 6,2 / Sinal MTA - RX= -1 -TX= 42,5",C,https://i.postimg.cc/wvgMs9mk/TXRX.jpg
79)   Qual a função do cable Isolator?,Proteger a Instalação e os equipamentos da NET contra picos de tensão e retorno de (AC);,Amplificar o sinal luminoso da fibra ótica;,Dividir os sinais elétricos em Igual valor;,Filtrar as frequências acima de 350 Mh.,A,
80)   Qual a função da Carga Casada?,"Adequação da rede, faz o casamento de Impedância do circuito;",Tem a função de proteger a instalação e equipamentos contra picos de tensão;,Utilizada para unir dois conectores ou cabos distintos;,Utilizada para minimizar a pirataria nos equipamentos internos e externos.,A,
"81) Para configurar corretamente um IP Fixo em nosso eMTA/ONT, precisamos de quais informações? (EAD Procedimentos NET Virtua II)","Endereço IP, Máscara de rede, Gateway e DNS primário e secundário.","Endereço IP, Máscara de rede, Gateway.",Apenas do Endereço IP.,Não configuramos IP Fixo em nossos eMTA's.,A,
82)     O NET Fone só funciona em telefones homologados pela ANATEL e que utiliza o padrão de  discagem:,FSK;,Pulse;,DTMF ou TOM;,VoIP.,C,
83)   O que significa cabo Drop?,Cabo que faz a ligação do decodificador com a televisão;,Cabo que conecta o eMTA ao computador;,Cabo que faz a ligação do divisor até o equipamento NET,"Fazer a conexão do poste da Companhia de Energia Elétrica, onde está instalada a rede da NET, até o ponto de entrada da casa do cliente.",D,
84)     Quais são os tipos de Modulação Digital?,QPSK e TDM;,QAM e XADSL;,QPSK e QAM,QAM e TDM.,C,
85)     IPCONFIG /RELEASE é um comando digitado para forçar a renovação de um IPV4 ou IPV6  dinâmico em um   determinado hardware (placa de rede ou WiFi). Essa afirmação é verdadeira?,Não é possível forçar a renovação do IP.,"Não, o comando que utilizamos para renovação do IPCHKDSK","Não, o comando que utilizamos para renovação do IP IPCONFIG /RENEW","Sim, a afirmação está correta",C,
"86) Sobre o #NET WIFI, podemos afirmar:
I. Rede de hotspots/pontos de acesso Wi-Fi instalados pelas ruas e aeroportos das principais cidades do Brasil; II. A rede #NET-WIFI também é exibida nos eMTA's 3.0 compatíveis",As afirmações I e II estão corretas,Apenas a afirmação I está correta,Apenas a afirmação II está correta,As afirmações não são corretas,A,
87)   O que é PIP ?,"O PIP (Picture in Picture) é um recurso que possibilita visualizar outro canal através de uma pequena janela, ao mesmo tempo que assiste a um programa na tela principal","O PIP (Picture in Picture) é um recurso que possibilita a transferência de dados e arquivos entre os cliente s NET Vírtua, podendo assim compartilha arquivos entre eles através dessa funcionalidade .","O PIP (Picture in Picture) é um recurso que possibilita a visualização das imagens armazenadas na rede do cliente em seu telefone, smartphone, tablet ou computador utilizando o NOW .",O PIP (Picture in Picture) é um recurso que possibilita o pagamento da fatura NET através do controle rem o to acessando o Minha NET pela Smart TV ou celular .,A,
"88)   Dentre as opções abaixo, qual representa   baixo potencial de barreira/interferência para o sinal  de Wi-Fi ?",Madeira e Gesso .,Agua e Arvores .,Concreto e Metal,Micro - ondas e Telefone sem fio .,A,
"89)     Sobre o teste de Tracert, é correto afirmar que :","É um comando para configurar, habilitar desabilitar o Firewall da máquina .","É um teste de rota que visualiza a solicitação de acesso a uma determinada página ou servidor com o objetivo de verificar lentidão, bloqueio ou gargalo ao site solicitado.",É um teste para determinar se a velocidade da navegação do cliente está dentro ou fora da velocidade contratada .,É um teste para verificar a existência de vírus ou Cavalo de Tróia no computador do cliente,B,
90)   A configuração 1920 x 1080 pixels refere-se a qual tipo de resolução de TV? ,SD,HD,FULL HD,ISDB,C,
91)   Sobre o Anel de Vedação é correto afirmar   que:,Deve ser instalado em todos os passivos da residência ou MDU.,Deve ser instalado apenas em passivos que estão em calhas ;,"Deve ser instalado em conectores que ficam expostos ao tempo, como por exemplo no TAP da Rede Extern a ou Cable Isolator .",n.d.a,C,
"92)     O cliente possui uma TV de LCD com alta definição é um decoder HD, qual das opões abaixo o  cliente consegue ter imagem em alta definição ?",Utilizando o cabo HDMI,Utilizando o cabo SPDIF,Utilizando o cabo Vídeo Componente,Utilizando o cabo S - VHS .,A,
