Pergunta,A,B,C,D,Correta,Imagem,Tema
"19) Com base nos conceitos básicos de informática, qual memória o computador utiliza para auxiliar o processador nas execuções das tarefas, informações e programas?",Memória USB,Memória HD,Memória RAM,Memória Física,C,
20) A__________é o equipamento responsável pela comunicação e gerenciamento das ONT's instaladas nos clientes.,ONT,OLT,SPLITTER,NAP,B,
"21) Quantos elementos ativos há entre a OLT e a ONT, em uma rede GPON?",Dois,Três,Nenhum,Um,C,
22) O modelo conhecido como SC - APC (Standard Connector - Angled Physical Contact ) é o padrão atual utilizado em nossas redes FTTH. A sua atenuação Média em (dB) é de:,1,0.5,0.23,0.35,B,
"23) Ao finalizar a instalação do cabeamento óptico e PTO, você deve medir o sinal de downstream utilizando o Power Meter. Para realizar corretamente a aferição da potencia óptica, qual o comprimento de onda que você deve selecionar no medidor?",1550 nm,1560 nm,1490 nm,1310 nm,C,
24) RX é o nível de potência óptica que a ONT recebe da OLT. O range de sinal na ONT é de:,-25 dBm a 0 dBm em 1490nm,-0 dBm a -5 dBm em 1490nm,n.d.a,-27 dBm a -08 dBm em 1490nm,D,
25) TX é o nível de potência óptica que a ONT envia para OLT. O range de sinal da ONT é de:, +8 dBm a +27dBm em 1310nm,-8dBm a -25dBm em 1310nm, +0 dBm a -5dBm em 1310nm, +0 dBm a +5dBm em 1310nm,D,
"26) Você pode consultar os níveis de sinal de uma ONT já instalada, de uma forma muito simples, através de seu Smartphone! Para isso, acesse:",www.anatel.gov.br,www.consulta.ont.com.br,www.net.com.br,niveis.virtua.com.br,D,
"27) A abertura de ocorrência para Rede Externa poderá ser feita após a medição da NAP/CTO, onde a potência medida esteja fora do limite mínimo de:",-8 dBm,-25 dBm,-27 dBm,-28 dBm,B,
28) Qual a capacidade de tráfego da rede GPON?,"downstream 2,5 Gbps e upstream 2,5 Gbps","downstream 1,25 Gbps e upstream 1,25 Gbps","downstream 2,5 Gbps e upstream 1,25 Gbps",downstream 10 Gbps e upstream 5 Gbps,C,
29) Qual é o nível de divisão de nossa rede GPON?,01:16,1:64,01:32,1:256,B,
30) Qual o significado da sigla GPON?,Passive Optical Network,n.d.a,Gigabit Passive Optical Network,Ethernet Passive Optical Network,C,
"31) Para fazer a passagem da fibra óptica do poste para a residência do cliente você precisa certificar que o poste de passagem será o mais próximo da residência do cliente. E para fazer a travessia da fibra na rua, o técnico deve seguir a seguinte regra:","Mínimo de 6,5mts de altura","Mínimo de 5,15mts de altura","Mínimo de 3,15mts de altura","Mínimo de 7,15mts de altura",B,
"32) Em uma instalação, utilizamos o SRDO (esticador) para levar o cabo óptico da NAP até a casa do cliente. Quantos SRDO podem ser utilizados em uma instalação?",A instalação não pode possuir mais de 4 SRDO,A instalação não pode possuir mais de 3 SRDO,Deve ser utilizado a quantidade necessária para uma instalação de qualidade,A instalação não pode possuir mais de 5 SRDO,C,
"33) A distancia máxima do DROP (da NAP até a ONT do cliente) é de___________, utilize as informações de distancias contidas no cabo para confirmar a distancia.",200 metros,150 metros,300 metros,250 metros,B,
"34) Na instalação do cabeamento interno onde o cabo ficará exposto, utilizamos o fixa fio para acomodar o cabo óptico. Em uma parede com espaço de 3 metros para passagem do cabo o espaçamento entre os fixa fios deve ser de:",40cm,30cm,50cm,60cm,C,
"35) Após passagem da fibra óptica pelos anéis AGF, você deve retirar o mensageiro do cabo a partir do:",penúltimo anel da lateral do poste,não é necessário cortar o mensageiro,ultimo anel da lateral do poste,Adaptador ECAM,C,
36) É obrigatório inserir os __________ para identificar os clientes na NAP. A leitura sempre será da esquerda para a direita.,ECAM,SRDO,Numeradores,SDA,C,
37) A informação com o código da NAP que deve ser utilizada na Instalação você encontra no:,Minha Claro Residencial,App Tecnico Nota 10,Conectado,TOA,D,
38) A utilização do ECAM é obrigatória. Da ponta do Conector até o começo do ECAM tem o espaçamento de:,n.d.a,Não é necessário instalar ECAM,"12,5 cm",5 cm,C,
"39) Ao subir a escada para acessar a rede externa, utilize a _____ nos cabos e cordoalhas antes de ancorar o talabarte.",Caneta Localizadora de Falhas,Chave de Fenda,Caneta de Limpeza de Fibra,Chave de Teste,D,
40) É obrigatório utilizar a bucha de acabamento sempre nos dois lados da parede quando realizar furos de passagens dos cabos. A pingadeira da entrada na residência do cliente precisa conter uma circunferência com diâmetro de _______cm:,20cm,12cm,15cm,30cm,C,
"41) O local da instalação da ONT é muito importante para garantir a cobertura nos locais onde o cliente mais utiliza seus equipamentos. A potencia do Wi-Fi, através do Wi Analyzer, deve estar dentro de quais limites de sinal para garantir uma boa navegação através da conexão sem fio?",- 10 dBm a - 70 dBm, +8 dBm a +28 dBm, +10 dBm a -70 dbm,-8 dBm a -28 dBm,A,
"42) Para os casos de problemas na Portabilidade, qual site podemos consultar para qual operadora a linha pertence?",http://niveis.virtua.com.br,https://consultanumero.abrtelecom.com.br/,http://www.anatel.com.gov,http://datacenter.virtua.com.br,B,
"43) Após a configuração do Band Steering é imprescindível mostrar ao cliente que a rede configurada já está visível para os dispositivos que o Cliente utiliza e tenha certeza de que todos os dispositivos do Cliente ficaram funcionando. Sobre o teste de velocidade, selecione a alternativa correta:","Não é necessário realizar teste de velocidade e muito menos apresentar o resultado ao cliente, após instalação do produto","Sempre realize o teste de velocidade o mais distante possível do modem, para que ele priorize a conexão com a rede de 2.4GHz, sendo essa a melhor em performance de dados.","Realize o teste de velocidade próximo ao modem, para que ele priorize a conexão com a rede de 5GHz, obtendo melhor performance e resultados na realização dos testes.",Todas as alternativas acima estão corretas,C,
"44) O Vírtua (GPON) é vendido nas velocidades de 350, 600, 750 Mega e 1 Giga. Qual a velocidade de upload delas respectivamente?","175, 300, 350 e 500 Mbps","175, 300, 300 e 600 Mbps","150, 300, 450 e 600 Mbps","150, 280, 350 e 500 Mbps",A,
"45) O Cliente que solicitar um combo da Claro que contenha o serviço de Voip, será responsável pela conexão de seu telefone fixo Claro Fone, não havendo a necessidade de nenhuma ação sua para a instalação desse produto. Nesse caso você efetua a baixa da O.S com o código:",#409 Serviço Concluído,#411 Fone instalado pelo cliente,n.d.a,#410 Auto Instalação Concluída,D,
46) _______________é uma ferramenta que permite descobrir o caminho feito pelos pacotes desde a sua origem até o seu destino.,ping,Tracert,cmd,ipconfig,B,
47) Qual dos itens abaixo não é um serviço inteligente do Claro NET FONE?,Identificador de Chamadas,Conferência a Três,Acompanhe-me,Chamada em Espera,C,
"48) No Prompt de Comando do Windows, quais comandos são utilizados para verificar, liberar e renovar IP respectivamente?","cmd, renew e release.","Ipconfig, Tracert e Renew.","Ping, Ipconfig e cmd.","Ipconfig, Ipconfig/release e Ipconfig/renew.",D,
"49) Um cliente está realizando um download de um arquivo de aproximadamente 4GB, sua taxa de transferência segue constante em 7,5MBps. Sabendo que a velocidade aceitável é no mínimo 80% da velocidade contratada pelo cliente, qual a velocidade contratada neste caso?",100 Mbps,30 Mbps,60 Mbps,4MBps,C,
"50) Para clientes com Vírtua acima de 600Mbps, o teste de velocidade deverá ser executado no:",minhaoperadora.com.br,Speedtest CLI,www.brasilbandalarga.com.br,www.minhaconexao.com.br,B,
"51) Das dicas abaixo, qual é a alternativa correta que pode evitar uma Quebra de Agenda por Motivo de cliente Ausente?","Use o Status correto no TOA, vá em \""detalhes da atividade\"", utilize a opção \""ligar para o cliente\"" e tente duas ligações ao cliente, cada uma delas com tempo mínimo de 15 segundos",Solicite que o COP/EPO ligue para o cliente antes do deslocamento.,Nenhuma das alternativas acima estão corretas.,Ligue para o cliente antes do deslocamento através do Whatsapp.,A,
52) O que é TNPS?,"É o Transactional Net Promoter Score, onde a cada atendimento que você realiza, o Cliente pode fazer uma avaliação através de e-mail ou do aplicativo MINHA CLARO. inserindo uma Nota de 0 a 10.",Indicador de atendimento no prazo.,"É o Technical Net Promoter Score, onde é contabilizado 0 % de revisita de seus atendimentos",n.d.a,A,
"53) No Claro TV+ App,  o cliente conta com mais de 100 canais AO VIVO, além de mais de 50 mil conteúdos On Demand, para assisitir em seu tablet, smartphone, PC ou Smart TV. A afirmação acima é:",Verdadeira,Falsa,n.d.a,O aplicativo so pode cadastrar somente 1 dispositivo,A,
"54) Ao final de cada instalação, é muito importante encantar o cliente e direciona-lo para a melhor experiência com os produtos e serviços que a Claro oferece. Das opções a seguir, quais são as informações que não podem faltar durante um atendimento de excelência?","Telefone da Central de atendimento, telefone do coordenador",Todas as opções estão corretas,"Utilização do Claro TV+, Instruções do controle Remoto, Apresentação do aplicativo Minha Claro.",Nunca esqueça de informar seu telefone para caso o cliente precise,C,
"55) Quando o cliente liga na central para reclamar de uma visita tecnica no qual o seu Decoder não habilitou, qual indicador esta sendo afetado nesse momento?",X5,ISRA,Contact Rate,TEC1,C,
56) O que é a Auto Inspeção?,"Recurso presente no aplicativo TOA, onde você descreverá a instalação no campo observação da ordem de serviço.",Recurso onde o Tecnico de Controle de Qualidade avalia sua instalação ao vivo através de videoconferência.,"Recurso presente no aplicativo Técnico Nota 10, onde você deverá registrar os principais pontos ao final de sua Instalação, através de fotos.",n.d.a,C,
"57) O cliente com Claro TV+ Box poderá ter além do ponto principal, até ___ adicionais.",1,2,3,0,B,
"58) Para que o aplicativo MINHA CLARO seja indicado ao cliente, cite a opção com algumas vantagens existentes:",Mudança de titularidade e Mudança de pacote,"Segunda via da Fatura, Suporte Técnico, Solicitar Mudança de endereço e consultar a franquia de Internet.",Login e senha do Wi-Fi e habilitar e desabilitar dispositivos,Solicitar Mudança de pacote e Suporte Remoto/Presencial,B,
"59) Sobre o Atendimento Consultivo e Soluções de Conectividade, selecione a alternativa correta:",Todas as alternativas acima,"Durante o seu atendimento, caso identifique alguma oportunidade de upgrade de TV ou Vírtua, oriente o Cliente a cancelar a assinatura e contratar o serviço novamente, através do App Minha Claro Residencial ou Central de Atendimento.","Após análise do cenário, caso identifique oportunidade, explique e ofereça as nossas soluções de conectividade ao cliente. Em seguida, preencha o check list e oriente o Cliente a entrar em contato com o canal Claro para Atendimento Consultivo.","O atendimento consultivo é um serviço no qual o cliente tem à disposição profissionais especializados para auxiliá-los na instalação e configuração de devices como notebook, computador desktop, smart TV, videogames, smartphone e Tablets, etc. Ele é realizado por Técnicos de Manutenção das áreas de Alto Valor.",C,
"60) Sobre o Claro TV+ App, o cliente pode cadastrar:",5 dispositivos e ter 2 acessos simultâneos.,Não há limite de cadastro e nem de acesso.,3 dispositivos e ter 4 acessos simultâneos.,10 dispositivos e ter 5 acessos simultâneos.,A,
61) Na falta da etiqueta Wi-Fi (usuário e senha do EMTA) o que deve ser realizado?,Anotar a numeração do SSID e SENHA em qualquer local da OS.,É obrigatório o preenchimento das informaçõ es SSID e SENHA no campo observação da OS.,Pedir para que o cliente entre em contato com a central de atendimento.,Deixar o seu numero de telefone para o cliente te ligar quando necessário.,B,
"62) Conforme procedimento de Baixa na URA, para o MAC 0023754F1608, é necessário digitar para o caractere hexadecimal ( F ) : ",*6,*06,6,#6,B,
"63) Dos padrões de redes Wi-Fi abaixo, qual nos proporciona a maior velocidade da taxa de transmissão?   ",g,n,a,ac,D,
64) Sobre a facilidade CONFIGURAÇÃO SENHA WI FI:   ,"Com essa nova facilidade nosso cliente conseguiu Consultar, trocar a senha e nome da rede WI-FI de sua casa apenas através do site, ainda não está disponível pelo NETAPP.","Consultar, trocar a senha e nome da rede WI-FI de sua casa através do NET APP e também pelo site MINHA NET."," Consultar, trocar a senha e nome da rede WI-FI de sua casa atraves do NET APP, ainda não está disponível pelo site MINHA NET.",n.d.a,B,
65) Qual alternativa corresponde aos problemas causados ao cliente caso ele não seja orientado sobre o uso de senhas?   ,Compra de conteúdos do NOW sem os seu conhecimento,Ligações na central para solicitar estorno de valores referente a compras,Reclamações nos órgãos de defesa ao consumidor,Todas as alternativas estão corretas,D,
66) São características da fibra óptica.,Alta atenuação ;,Necessidade de amplificação a cada 2Km,Maior sensibilidade a interferências eletromagnéticas;,Nenhuma das alternativas.,D,
"67) Se o cliente agendar uma visita para ser atendido das 11:00 às 14:00 e o técnico chegar às 14:20, qual Indicador será afetado?",ISRA .,STFC .,SCM .,TEC1 .,D,
68) Em relação ao poste da residência do cliente é correto afirmarmos que:,Utilizamos o suporte da companhia telefônica somente com autorização de cliente,Não é permitida a utilização do suporte da companhia telefônica,É necessário utilizar o U Span Clamp poste somente nos casos em que instalarmos CLARO Fone,É necessário utilizar o U Span Clamp poste somente se não houver suporte da companhia telefônica,B,
69) Durante os testes de potência do WI - FI   o   Técnico Jonny se lembra de que o ideal  em   relação à  potência do WI - FI:,80% dos cómodos com a potência entre - 10dBm e - 70 dBm,60% dos cômodos com a potência entre - 10dbm e - 70d Bm,80% dos cômodos com a potência entre - 50dBm e - 120cm,60% dos cômodos com a potência entre - 50dBm e - 12dBm,A,
"70) Durante a instalação da extensão  telefônica , caso  o   cliente queira adicionar outros pontos de  extensão qual o   procedimento que você deve tomar?",Você deve instalar as extensões solicitadas pelo cliente e efetuar a cobrança em dinheiro referente a cada ponto de extensão instalado,"Caso o ponto solicitado pelo cliente não esteja contemplado na W.O, oriente o cliente solicita-las via CRN, antes de baixar o serviço. pois a O.S referente aos novos pontos serão agrupado na mesma W.O.",O cliente deve solicitar a instalação dos novos pontos de extensão na CRN após o fechamento da W.O que você se encontra.,n.d.a,B,
71) O que é RQUAL?,É uma nova regulamentação da Anatel que consolide e simplifica todas as normas de qualidade de serviços para operadores de Telecomunicações em um regulamento único.,É uma nova regulamentação da Anatel que consolida e simplifica todas as normas de qualidade de serviços para operadores de fibra optica em um Regulamento único.,É uma nova regulamentação da ANA que consolida e s implifica todas as normas de qualidade de serviços para operadores de saneamento e m um regulamento único.,É uma nova regulamentação da CableLabs que consolida e simplifica todas as normas de qualidade de serviços para operadora de cabo mundial em um regulamento único.,A,
"72) Sobre a Configuração dos serviços  Inteligentes   do Fone, qual das Informações abaixo está correta?","O SIGA - ME não está disponível para os pacotes que não possuem o Busca Automática. Ou seja, o cliente deve escolher entre o Busca Automática e o SIGA - ME",SIGA - ME só pode ser habilitado após o pagament o da fatura.,"SEMPRE que configurar o SIGA - ME, desative o serviço de CHAMADA EM ESPERA, pois o mesmo é incompatível com o funcionamento do sistema de redirecionamento",Todas as opções estão corretas .,B,
"73) Para obter o título de Técnico Certificado, quais são os parâmetros que devem  ser  cumpridos?","Cumprimento de Agenda, Revisita e Produtividade .","Contact Rate, Revisita e Produtividade.","TEC1, ISRA e AT",n.d.a,A,
74) O que é portabilidade?,"É a facilidade que permite o cliente manter o número de telefone fixo ou móvel, independentemente da operadora a que estiver vinculado;",É a facilidade que permite o cliente trocar um número de telefone fixo para um móvel;,"É a facilidade que permite o cliente manter o número de telefone fixo ou móvel, i ndependentemente da operadora mesmo com titulares diferentes;",N.d.a.,A,
75) Qual a importância de alternar corretamente o Status no PDA?,Não faz diferença alterar o Status para execução do trabalho," Não tem importância, pois os únicos Status utilizados são o deslocamento e Iniciar a rota.", O Status é importante para que o Field consiga otimizar a rota dos Instaladores e evitar deslocamento indevido., O Status é importante para que o Supervisor consiga visualizar onde o Instalador está.,C,
"76) A respeito da Norma Regulamentadora no 35 (NR-35) – Trabalho em Altura, no que diz respeito e cabe ao empregador quanto à avaliação do estado de saúde dos trabalhadores que exercem atividade em altura, assinale a alternativa correta.","A NR-35 não estabelece periodicidade para avaliação dos trabalhadores que executam trabalho em altura; cabe ao médico responsável estabelecer a periodicidade dos exames, considerar a relevância da NR-07 e analisar o histórico de cada trabalhador.","Os exames médicos realizados, bem como a sistemática implementada, para trabalhadores em altura, não fazem parte do Programa de Controle Médico de Saúde Ocupacional (PCMSO) da empresa, considerando-se a situação desses trabalhadores uma situação a se trat.","De acordo com a NR-35, a avaliação de saúde do trabalhador em altura deve ser realizada trimestralmente e contemplar a avaliação de esforço físico; a avaliação de acuidade visual só precisa ser realizada uma vez a cada ano.","De acordo com a NR-35 e com a NR-07, os trabalhadores com histórico de epilepsia, desde que devidamente medicados, podem participar do quadro de trabalhadores em altura.",A,
"77) Dos padrões de criptografia Wi - Fi listados abaixo, qual é considerado o mais seguro?",RADIUS - PSK,WEP,WPA + TKIP,WPA2+AES,D,
"78) Em relação ao  Virtua WI - FI, o que é importante analisar antes de realizar a instalação?","Melhor caminho para se passar o cabeamento, independente do local onde será instalado.",Melhor local para não interferir esteticamente na sala do cliente.,"Melhor local para propagação do sinal WI - FI, de preferencia em um cômodo central da residência.","Onde fica a sala para instalar o Virtua, pois neste local será utilizado com maior frequência internet através da TV e dos Celulares.",C,
"79) Para verificar se o sinal de Wi - Fi de qualquer local da casa do cliente é suficiente para se  conectar a internet,   você deve verificar:","intensidade da conexão usando o Wi - Fi Analyzer ou WIFI-MAN, que deve ser de - 40 a - 70 dBm.","A visão geral do WiFi Analyzer ou WIFI-MAN, prestando atenção à curvatura do sinal, que não deve ser muito acentuada estando entre 40dBmV e 52dBmV.","O canal utilizado, pois se houver muitos roteadores o sinal será mais forte ficando entre - 1 2dBmV e +12dBmV.","O canal utilizado, pois usar um canal livre deixa o sina f raco.",A,
80) Qual hierarquia de conexão de cabos devemos respeitar pa ra   termos a melhor experiência em  assistir TV?,Vídeo Componente; Áudio e Vídeo; S - VHS; HDMI;, HDMI; Vídeo Componente; S - VHS; Áudio e Vídeo;, S - VHS; HDMI; Vídeo Componente; Áudio e Vídeo;, HDMI; S - VHS; Vídeo Componente; Áudio e Vídeo.,B,
81) O que você entende por Combo Multi   ?,"A mais completa seleção de serviços de telecomunicações do País, reunindo o melhor das três marcas: NET, Claro e Embratel"," A mais nova banda larga da NET, Claro e Embratel", É a nova seleção de TV da Claro e Embratel," É a nova seleção de TV da NET, Claro e Embratel",A,
"82) Um cliente está realizando um download de um arquivo de aproximadamente 4GB, sua taxa de transferência segue constante em 3,75MBps. Sabendo que a velocidade aceitável é no mínimo 80% da velocidade contratada pelo cliente, qual a velocidade contratada neste caso?",10 Mbps,30 Mbps,1500 Kbps;,27 MBps.,B,
"83) ""Sobre a Autoinspecção é correto afirmar que: (T1 294).""
""I. A funcionalidade de Autoinspecção deve ser utilizada em novas Instalações e Mudança de Endereço.""
""II. Para as visitas improdutivas, o Botão de Inspeção deverá ser utilizado também para registrar eventos como: Chuva, Endereço não localizado, Entrada não autorizada e Área de risco.""
""III. No campo de observações, coloque informações pertinentes à vistoria realizada.""
""IV. A Autoinspecção tira a obrigatoriedade do preenchimento da OS Digital.""","I, II e III estão incorretas","I, II e IV estão corretas","I, II e III estão corretas","I, II e IV estão incorretas",C,
"84) Em todas as situações de atendimento, temos a obrigação de encantar o cliente e direcioná-lo para a melhor experiência com os produtos e serviços oferecidos. Das opções a seguir, quais são as informações que não podem faltar durante um atendimento de excelência?"," Telefone da Central de atendimento, telefone do coordenador","Utilização do Now, Instruções do controle Remoto, Apresentação do aplicativo MINHA CLARO",Nunca esqueça de informar seu telefone para caso o cliente precise,Todas as opções estão corretas,B,
"85) Conforme podemos observar na atividade conhecendo os decoders, qual a função e o problema  que   pode acontecer quando não utilizamos a fonte certa para o equipamento desejado?"," As fontes tem a função de ligar os equipamentos. A utilização de uma fonte correta acarreta o mau funcionamento do equipamento, porem o mesmo não para de funcionar.","As fontes tem a função de transformar a corrente AC da rede elétrica residencial em corrente DC, para o correto funcionamento dos equipamentos. A utilização de uma fonte correta acarreta o mau funcionamento do equipamento, que dependendo do caso poderá ser seriamente danificado.","As fontes tem a função de transformar a corrente AC da rede elétrica residencial em corrente DC, para o correto funcionamento dos equipamentos. A utilização de uma fonte incorreta acarreta o mau funcionamento do equipamento, que dependendo do caso poderá s er seriamente danificado.","As fontes tem a função de transformar a corrente elétrica residencial em corrente AC, para o funcionamento dos equipamentos. A utilização de uma fonte incorreta acarreta na maioria dos casos o mau funcionamento do equipamento, porem o mesmo não para de fun cionar .",C,
86) Para qual dos serviços abaixo é necessário que o cliente ligue na CRN (CENTRAL DE  RELACIONAMENTO   NET) para solicitar ativação?, Identificador de chamadas,Siga - me,Chamada em espera,Conferência a três,B,
87) Um dos indicadores do Programa Geral de Metas da Qualidade da Anatel é o ISRA. Qual o  significado da   sigla e o que ele mede?,"Indicador de Solicitação de Reajuste Atendido, mede o percentual de reajustes na fatura cadastrados no sistema em menos de 24horas.","Indicador de Serviços Relacionados ao Atendimento, mede o percentual de ligações na central.","Índice de Serviços de Realizados Avulsos, mede o percentual de reparos atendidos sem cadastrado no sistema.","Indice de Solicitação de Reparo Atendido, mede o percentual de reparos atendidos em 24h da data/período cadastrado no sistema.",D,
"88) Para configurar corretamente um IP Fixo em nosso eMTA/ONT, precisamos de quais informações? (EAD Procedimentos NET Virtua II)","Endereço IP, Máscara de rede, Gateway e DNS primário e secundário.","Endereço IP, Máscara de rede, Gateway.",Apenas do Endereço IP.,Não configuramos IP Fixo em nossos eMTA's.,A,
89) O NET Fone só funciona em telefones homologados pela ANATEL e que utiliza o padrão de  discagem:,FSK;,Pulse;,DTMF ou TOM;,VoIP.,C,
90) IPCONFIG /RELEASE é um comando digitado para forçar a renovação de um IPV4 ou IPV6  dinâmico em um   determinado hardware (placa de rede ou WiFi). Essa afirmação é verdadeira?,Não é possível forçar a renovação do IP.,"Não, o comando que utilizamos para renovação do IPCHKDSK","Não, o comando que utilizamos para renovação do IP IPCONFIG /RENEW","Sim, a afirmação está correta",C,
"91) Dentre as opções abaixo, qual representa   baixo potencial de barreira/interferência para o sinal  de Wi-Fi ?",Madeira e Gesso .,Agua e Arvores .,Concreto e Metal,Micro - ondas e Telefone sem fio .,A,
"92) Sobre o teste de Tracert, é correto afirmar que :","É um comando para configurar, habilitar desabilitar o Firewall da máquina .","É um teste de rota que visualiza a solicitação de acesso a uma determinada página ou servidor com o objetivo de verificar lentidão, bloqueio ou gargalo ao site solicitado.",É um teste para determinar se a velocidade da navegação do cliente está dentro ou fora da velocidade contratada .,É um teste para verificar a existência de vírus ou Cavalo de Tróia no computador do cliente,B,
93) A configuração 1920 x 1080 pixels refere-se a qual tipo de resolução de TV? ,SD,HD,FULL HD,ISDB,C,
"94) O cliente possui uma TV de LCD com alta definição é um decoder HD, qual das opões abaixo o  cliente consegue ter imagem em alta definição ?",Utilizando o cabo HDMI,Utilizando o cabo SPDIF,Utilizando o cabo Vídeo Componente,Utilizando o cabo S - VHS .,A,
"95) Sobre o NOW/nowonline selecione a alternativa correta:  I.O aluguel de conteúdo pago pode ser feito pela TV, computador e aplicativo Android e podem ser assistidos em todos os dispositivos pelo período de 48h, a partir do momento do aluguel;  II. O cliente pode cadastrar até 2 dispositivos móveis (Smartphone/Tablet) e um computador;  III. Pode dar play em 1 dispositivo móvel e 1 computador ao mesmo tempo, além da TV que é independente.  ",Apenas a afirmação I está correta,Apenas a afirmação Il está correta,Apenas as afirmações I e III estão corretas,Todas as afirmações estão corretas,D,
96) Qual a finalidade da pingadeira?,Evitar que haja infiltração de água na casa do cliente através do cabo.,Apenas para deixar a estética da instalação ideal ;,Serve como reserva técnica caso o cliente queira mudar local ;,Ocasionar infiltração de água na casa do cliente ;,A,
97) Quais as partes que compõem um cabo de Fibra Óptica?,Capa protetora ;,Casca ;,Núcleo ;,Todas as alternativas acima .,D,
"98) Ao executar o teste de navegação após a instalação do produto Virtua, o teste de download apresenta uma taxa de transferência de 7,5 MBps, qual é a velocidade contratada desse cliente? ",100 Mbps, 12 Mbps, 120 Mbps, 60 Mbps,D,
